geo,name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
dnk,Denmark,422807,413472,399522,388269,380809,375061,361725,358119,359871,363534,367220,377315,383833,387473,389980,392608,396783,397062,394793,391327,387712,381380,376721,372873,368212,361547,354266,345510,335490,324710,313388,300872,288610,277435,268910,264208,260433,263487,271452,281399,291389,306898,318421,326751,333207,338737,343718,344896,343597,341219,338606,331226,327516,326354,326184,325845,325541,326681,328030,328045,325866,325606,318945,308921,300080,295077,284932,285575,293368,302353,308596,319795,325100,326092,326320,328191,329851,332240,335272,337826,339156,339587,339558,339008,338122,336943,335184,333763,332518,331219,329676,328319,326940,325595,324404,323407,322918,322730,322798,323088,323609,324895,326371,327991,329646,331241,333471,335317,336848,338148,339252,340402,341382,342165,342630,342643,342555,342230,341671,340953,340111,339289,338814,338544,338244,337709,337783,337648,337348,337042,336858,337259,337900,338713,339511,340141,341426,342477,343332,344058,344640,345620,346579,347418,348008,348250,348854,349234,349372,349252,348801
dom,Dominican Republic,439444,466326,491948,515877,538924,562886,591662,615034,635048,653764,673068,692191,709894,726537,741958,756249,770398,781821,791217,799698,808333,817733,825971,833498,840661,847924,856705,864268,871132,877963,885329,893964,902963,912176,921171,929650,939009,947009,954141,961432,969638,977922,987976,998566,1007480,1013180,1019325,1019871,1016422,1011813,1008017,1001337,998016,997126,996673,995148,993981,992495,990686,989420,989582,993148,996227,999023,1001479,1003694,1007872,1009484,1008911,1006545,1002829,999087,992534,984021,974687,965406,955135,946264,938314,930460,922242,915974,908603,900448,892207,884527,878982,872571,865655,858584,851768,846497,840544,834076,827205,820115,814171,807102,799259,791124,783111,775815,768484,761121,753649,746110,739878,733079,725837,718364,710899,704784,697900,690534,683080,675905,669857,663789,657673,651368,644869,639832,633766,627009,620096,613482,607897,602314,596707,590929,584958,580360,574908,568834,562528,556330,551203,545745,540070,534256,528436,523819,518795,513449,507915,502352,498125,493298,487949,482253,476537
dza,Algeria,1403134,1476698,1576286,1670568,1750507,1821562,1928086,1981357,2005890,2027870,2067712,2100596,2157452,2233066,2311798,2384697,2472972,2534493,2578562,2622556,2680397,2748747,2822093,2901585,2984643,3071607,3175225,3264356,3344078,3422809,3509321,3606396,3687164,3756131,3816498,3871509,3922104,3955087,3972794,3977412,3970828,3953957,3926354,3885106,3822414,3733161,3632296,3498315,3346950,3203248,3084850,2949780,2877720,2861748,2891553,2960281,3080573,3248013,3445670,3651391,3852284,4116089,4298747,4425443,4534569,4653816,4741030,4844845,4950834,5024616,5041518,5027475,4950649,4828294,4695318,4574373,4405864,4301605,4243300,4198163,4143430,4117938,4078807,4031984,3995061,3981144,3994686,4017278,4049933,4089236,4134100,4197995,4255734,4308189,4356432,4401313,4448607,4484337,4509633,4524943,4530209,4524546,4511567,4491198,4463121,4426644,4380041,4333582,4286642,4239016,4190305,4142557,4100430,4062714,4028305,3996657,3976923,3958348,3941646,3928301,3919696,3922922,3926944,3931876,3937247,3942897,3955889,3964948,3970418,3972411,3970865,3969748,3963865,3953487,3938804,3919718,3897778,3874786,3850180,3823187,3793008,3763984,3735636,3707330,3678531,3648691,3626084,3604022,3582512,3562508,3546024
ecu,Ecuador,543001,570495,610149,647858,679528,706305,745491,766993,779040,790057,806347,818313,838576,865518,894225,921515,952544,979387,1002882,1025406,1049029,1076052,1098517,1117956,1135701,1153196,1171203,1186278,1199797,1213444,1228716,1245050,1262675,1281401,1300597,1320081,1343280,1363386,1381241,1398014,1414785,1433103,1448143,1461217,1474126,1488237,1503026,1520410,1538365,1553154,1562332,1574218,1575401,1569417,1562128,1557687,1548115,1545858,1549249,1554835,1560212,1568239,1576810,1585920,1596662,1610011,1626355,1640924,1653388,1662470,1667087,1672859,1672791,1668440,1662186,1655776,1645653,1638561,1633452,1628570,1622552,1616944,1611250,1605253,1599137,1593062,1589206,1584193,1578371,1572135,1565842,1560950,1555443,1549407,1542828,1535738,1529502,1522687,1515340,1507453,1498982,1491230,1483018,1474409,1465600,1456721,1448853,1441482,1434223,1426442,1417709,1410742,1402129,1392356,1382264,1372423,1363406,1355420,1348035,1340450,1332108,1325726,1318423,1310333,1301871,1293312,1286266,1279252,1272130,1264594,1256413,1249788,1242597,1234907,1226917,1218716,1211889,1205380,1198896,1191974,1184274,1178378,1171698,1164350,1156602,1148656,1142027,1135808,1129942,1124060,1117629
egy,Egypt,3634281,3827825,3842980,3820006,3826837,3896553,3922855,4043779,4217852,4396545,4547490,4759173,4873315,4919472,4957229,5033738,5134380,5248257,5373862,5490585,5588247,5725178,5799385,5835851,5877689,5961768,6079226,6222229,6391562,6578182,6779540,7032274,7252827,7451625,7647275,7857536,8103266,8316726,8495019,8621695,8689371,8754239,8702822,8579930,8456952,8385616,8258340,8266325,8367557,8482958,8557270,8697012,8749185,8744939,8745949,8797235,8857212,8964988,9135679,9390342,9744422,10152696,10719438,11361212,11943129,12375137,12908441,13069956,12972433,12803817,12697212,12392258,12299923,12360750,12444034,12455586,12477808,12470154,12437489,12425700,12465978,12561955,12686344,12837484,13002069,13174650,13402747,13600121,13772038,13925014,14064838,14208611,14311708,14384049,14436417,14475751,14480754,14495725,14514015,14524190,14517316,14503651,14485543,14463475,14442729,14426860,14422938,14427563,14438463,14451826,14465915,14504637,14532559,14551586,14564440,14573711,14595110,14601368,14595736,14581267,14560259,14536383,14508057,14475259,14437196,14393077,14348039,14302346,14255130,14206010,14154671,14110892,14066304,14020115,13971229,13919074,13879339,13831951,13778640,13722137,13664626,13616694,13567667,13517362,13464657,13408702,13364810,13317411,13266616,13213513,13159207
eri,Eritrea,153503,154039,151934,150218,150432,153087,155315,160019,166178,172806,179480,188920,195160,199299,203143,208195,214033,219576,225157,230794,236792,244110,250200,255697,261429,268077,275493,282869,290561,298920,308298,318845,329136,339347,349813,360796,374940,388067,398714,404428,403754,409511,405569,394898,381867,370170,352588,336270,323719,318453,323194,324001,339219,364331,392149,417127,455990,485349,505688,518741,526331,536013,533452,523335,512017,503728,483440,478282,483343,490685,495070,504506,506095,502570,499487,500682,501329,505840,513570,522247,530524,540663,549305,556724,563833,571305,579459,586653,593086,598771,603769,608265,611921,614773,616840,618135,618817,618920,618574,617991,617337,616648,616334,616330,616572,617060,618651,620255,621860,623468,625147,628127,630241,631725,632885,633999,635572,636676,637342,637495,637094,636829,635769,634059,631944,629609,627253,624878,622424,619767,616848,614431,611636,608562,605393,602275,599834,597272,594635,591974,589364,587577,585566,583370,581039,578655,576998,574854,572237,569211,565911
esp,Spain,2663503,2658559,2640698,2638896,2663443,2708396,2732192,2792931,2869367,2943532,3008269,3111375,3164013,3181650,3188427,3200536,3192904,3193908,3203991,3218770,3234135,3232134,3252286,3282879,3309915,3323115,3347503,3342582,3309884,3252658,3175107,3092300,2969880,2824488,2678637,2546763,2380783,2272620,2205879,2154540,2101641,2081589,2050581,2012053,1975361,1947538,1937580,1912174,1883932,1869636,1883801,1898182,1942063,2010574,2091496,2172942,2274498,2370656,2448932,2494516,2502551,2554562,2516997,2422224,2318016,2236636,2107875,2043816,2025429,2016181,1990096,1975036,1947976,1910197,1872711,1842899,1825052,1803623,1782339,1763376,1748660,1735605,1730044,1730029,1732347,1734726,1742010,1748873,1755139,1761259,1767253,1775567,1782673,1788169,1791185,1790880,1790141,1786703,1780184,1770070,1755768,1739164,1720828,1700945,1679923,1657663,1633996,1614392,1597491,1581525,1565049,1552827,1542058,1532216,1523155,1514703,1511381,1508578,1506287,1504426,1502751,1503955,1506270,1509110,1511427,1512104,1514465,1516312,1516994,1516033,1512977,1510517,1507966,1504528,1499298,1491484,1484271,1476569,1468048,1458426,1447201,1437107,1428127,1419593,1410637,1400329,1393009,1386591,1380575,1374720,1368999
est,Estonia,92293,94642,93585,91898,90685,90509,89357,90006,91774,93786,95245,95722,96455,97092,97523,97678,97928,97617,97061,96833,97316,97514,99499,102549,105420,107231,109898,110404,109492,108563,108563,107503,108427,110761,113476,115825,118752,121438,123166,122794,119342,115537,107843,97672,87585,79638,70084,64636,62506,61916,61285,61071,61685,62706,64172,66212,70128,73109,75332,76831,77670,78427,77291,74988,72629,71079,68029,67202,67973,69038,69176,68610,67988,67050,65912,64726,64027,62834,61372,59910,58633,57265,56243,55521,54971,54515,54280,54193,54211,54317,54505,55035,55429,55711,55923,56099,56348,56417,56348,56167,55887,55466,55004,54484,53888,53201,52442,51694,50946,50193,49423,48733,48069,47423,46798,46209,45784,45366,44973,44629,44345,44226,44134,44056,43977,43893,43966,43964,43907,43805,43672,43581,43434,43237,42985,42667,42348,41995,41600,41160,40671,40221,39770,39292,38788,38261,37852,37423,36983,36566,36198
eth,Ethiopia,3327721,3389393,3412828,3430674,3458713,3507758,3570130,3632162,3698132,3775746,3875947,4015423,4140260,4258488,4377908,4507785,4669251,4792632,4897429,5011226,5159479,5340789,5533553,5730220,5907373,6046205,6206080,6320094,6409441,6514548,6674382,6837988,7012437,7206804,7424433,7673274,7952295,8216111,8480210,8757607,9056988,9380949,9676525,9953729,10232140,10535009,10926116,11307353,11676269,12022233,12347590,12756057,13036250,13228850,13387446,13553113,13659433,13774056,13906060,14060447,14244957,14428312,14660780,14927594,15206711,15483378,15823334,16102816,16339130,16560834,16791484,17036000,17261892,17473572,17668312,17845871,18015198,18160242,18284963,18395348,18495914,18587300,18670899,18747700,18817992,18882668,18953145,19015558,19072707,19129609,19190736,19268645,19345154,19418600,19484615,19541504,19619081,19666295,19691564,19707674,19724360,19743015,19762897,19780890,19788641,19780869,19782746,19761231,19721793,19674624,19627084,19583631,19543579,19504447,19460496,19408295,19373029,19324449,19264103,19194923,19119464,19057782,18982148,18897151,18808964,18722268,18644804,18574777,18508326,18438517,18360885,18304312,18232053,18146839,18053579,17956056,17869288,17773686,17672453,17569088,17466024,17369882,17281286,17197445,17113215,17023186,16953453,16874187,16783090,16684402,16588388
fin,Finland,500547,510794,493949,473943,457988,446541,415001,405414,408096,413082,413091,418608,417532,410394,401391,393511,389051,380690,370183,358801,348094,336708,325182,314762,307003,302535,296632,299180,306877,314974,320699,333399,336716,333603,328807,325507,318803,314266,311944,311119,311365,310457,314431,320775,325769,326724,330292,325049,314073,302723,294745,282871,278402,279467,282386,284683,289408,293390,296446,299106,301713,305993,307416,306653,304161,300232,293966,286608,278708,271068,264132,254950,249931,247755,246538,244956,245750,245387,244224,243221,243060,244149,245113,246134,247146,248124,249192,250344,251484,252491,253241,253772,254340,254805,254945,254546,253899,252851,251426,249725,247806,245496,243513,241772,240134,238486,236960,235905,235190,234671,234233,234407,234665,234972,235312,235644,236494,237261,237923,238449,238810,239357,239875,240303,240542,240464,240421,240326,240112,239702,238997,238360,237792,237204,236511,235634,234964,234476,234092,233707,233187,233089,233120,233174,233168,233034,233413,233829,234212,234487,234578
fji,Fiji,55000,56530,58110,60001,62319,64995,67517,70167,72750,75142,77377,79888,81359,82015,82170,82058,81573,80839,80005,79244,78754,78735,78937,79403,80182,81364,84160,86305,88053,89874,92387,96887,100291,102817,104386,104833,104722,103737,102217,100779,99939,98368,98047,98502,99056,99358,101035,101251,100538,99499,98246,94749,92493,91046,89974,89218,89673,89738,89544,89377,89604,91452,92490,93191,93793,94164,92304,91282,90668,90074,89390,89054,88503,87877,87343,86933,86354,85900,85542,85242,84999,84985,84967,84939,84901,84870,85095,85111,84982,84788,84599,84448,84235,83977,83690,83381,83080,82770,82450,82106,81740,81452,81095,80683,80235,79777,79388,78923,78404,77861,77328,76842,76338,75823,75306,74796,74363,73903,73420,72941,72480,72108,71698,71267,70824,70382,70017,69588,69119,68633,68153,67726,67268,66791,66302,65811,65384,64918,64425,63916,63412,62980,62507,62004,61489,60981,60545,60077,59587,59099,58613
fra,France,3964339,4136747,4074949,3985898,3928064,3907771,3722654,3710600,3797785,3909761,3991273,4095991,4170491,4209366,4231164,4247874,4294829,4292239,4259419,4220295,4194194,4153561,4147503,4159503,4155444,4111511,4075083,3973022,3834278,3713349,3647101,3554606,3575755,3671099,3771339,3830601,3952916,3972480,3919055,3848412,3799539,3725125,3677478,3654378,3640054,3624477,3605035,3606691,3621947,3645478,3674207,3730115,3766673,3790219,3810325,3834582,3873029,3900439,3919639,3931851,3939715,3958811,3963151,3953432,3929494,3892829,3860221,3803651,3734319,3669221,3619987,3565755,3547171,3551923,3559246,3556453,3588147,3584174,3556305,3525910,3509047,3502708,3502232,3507456,3512941,3516435,3536316,3546806,3549447,3548021,3546307,3558863,3559431,3551723,3539327,3525444,3520565,3508187,3490113,3468520,3446164,3435011,3418529,3398480,3377209,3357476,3353098,3343844,3331484,3318037,3306065,3311804,3309600,3302104,3292771,3285253,3293487,3295208,3292411,3286842,3280724,3289867,3290154,3283668,3273512,3263227,3266622,3263059,3254416,3242240,3228423,3228679,3220085,3205104,3187099,3169476,3166224,3157854,3145759,3131516,3117451,3120512,3116560,3107705,3096627,3086174,3093337,3093070,3087049,3077398,3067123
fsm,"Micronesia, Fed. Sts.",4952,5441,6112,6697,7126,7432,7961,8168,8198,8210,8299,8243,8392,8703,9077,9427,9855,10268,10626,10881,11007,11271,11360,11350,11356,11499,11567,11724,11982,12328,12721,12949,13393,13940,14431,14770,15291,15454,15380,15287,15340,15359,15589,15944,16223,16241,16211,16055,15749,15365,15007,14932,14622,14183,13725,13339,12930,12599,12348,12165,12084,12130,12079,11990,11931,11942,11919,11965,12062,12171,12265,12421,12524,12585,12628,12672,12743,12772,12775,12747,12701,12645,12559,12443,12307,12163,12014,11858,11698,11542,11397,11276,11161,11061,10963,10879,10846,10791,10726,10665,10620,10612,10598,10576,10546,10511,10502,10459,10390,10304,10212,10126,10017,9894,9762,9619,9484,9340,9188,9032,8877,8744,8601,8454,8316,8187,8088,7985,7887,7789,7706,7655,7590,7517,7439,7370,7323,7256,7182,7097,7011,6933,6840,6735,6623,6508,6403,6285,6163,6040,5921
gab,Gabon,53466,54904,55496,55715,55870,56255,56984,57687,58500,59519,60841,62454,64064,65778,67759,70186,73205,76077,78869,81587,84302,87742,90440,92725,95047,97782,100646,103743,107097,110648,114389,118521,122498,126399,130369,134541,139085,143341,147410,151376,155325,159402,163237,166829,170122,173099,176042,178480,180590,182599,184690,186449,188527,191147,194628,199226,203539,209241,216239,224421,233725,243752,253983,264108,273754,282688,293780,303020,310529,316297,320376,323852,324718,323822,322436,321433,318325,317958,319496,321511,322971,325653,327476,328704,330108,332274,335529,338832,342315,345952,349783,354312,358685,362912,366982,370906,375185,378940,382241,385159,387756,390270,392395,394149,395522,396511,397346,397901,398202,398295,398213,398156,398057,397942,397865,397866,398202,398659,399217,399822,400474,401658,402602,403371,404065,404764,405735,406492,407065,407454,407661,407917,407887,407627,407230,406756,406272,405851,405394,404729,403743,403009,401813,400273,398590,396947,395364,394015,392958,392094,391209
gbr,UK,4370647,4322292,4104614,3920041,3820172,3790133,3610690,3636106,3775548,3948213,4103112,4355223,4533713,4645750,4724234,4793261,4885910,4896151,4848688,4765177,4662355,4494946,4340446,4196172,4054024,3907553,3740741,3606859,3501440,3425941,3381804,3378545,3408569,3462376,3525083,3588305,3702037,3763271,3789143,3803800,3823875,3821326,3826145,3834496,3833264,3812702,3767868,3715999,3658331,3601540,3550650,3488450,3443843,3420138,3423573,3458060,3504850,3592587,3703819,3811406,3898072,4030878,4094014,4106575,4097655,4086931,4044007,4006730,3976861,3951046,3924490,3869283,3860024,3877294,3895570,3896588,3919346,3907690,3872123,3833220,3804810,3768551,3748714,3742624,3741323,3738277,3735854,3741086,3750821,3763109,3775860,3795104,3813289,3830056,3844610,3855673,3866778,3874349,3878386,3878883,3875232,3865348,3858529,3853122,3846670,3836480,3822621,3813010,3805661,3798380,3788794,3779976,3773592,3768646,3764286,3759246,3756283,3757093,3760073,3763234,3764671,3769068,3775169,3781800,3787559,3790718,3795214,3800882,3806504,3810394,3810483,3810171,3811121,3811974,3811078,3806377,3800957,3798061,3795921,3792472,3785456,3779367,3775793,3773179,3769760,3763488,3759921,3759184,3759722,3759879,3758030
geo,Georgia,286651,317247,337163,352575,366454,382354,401739,417701,431626,444330,456309,463597,472336,481209,487887,490270,488701,483718,475841,466760,457416,445214,437963,434074,431169,427790,428335,427007,424681,423524,425484,431384,437251,443423,449878,456918,465204,471774,476119,475318,464792,444562,421997,395521,366462,339049,328566,310316,289016,269919,257548,253528,246423,239053,233892,233077,235668,240648,247469,254744,261898,273496,280579,284235,286002,287153,287028,284131,279495,274062,268345,258685,251965,247179,242860,237956,233648,229231,224739,220714,217587,216075,214513,213125,212054,211491,212070,212364,212504,212610,212821,213418,213612,213476,213041,212344,211461,210110,208374,206346,204106,201497,198792,196007,193168,190311,187460,184688,182005,179438,177041,175113,173172,171265,169485,167943,166990,165929,164825,163738,162743,162180,161326,160275,159130,157985,156997,155794,154426,152928,151342,149820,148082,146187,144206,142218,140354,138421,136437,134435,132468,130854,129138,127369,125613,123947,122771,121472,120102,118739,117497
gha,Ghana,943789,950287,941262,938170,949032,974171,989838,1028344,1080038,1135981,1191255,1265598,1322594,1366233,1404708,1444702,1493508,1534807,1572190,1608576,1647401,1688013,1726251,1761887,1793722,1821529,1857952,1884561,1907250,1934699,1974568,2014484,2060407,2112309,2168666,2229109,2300385,2366009,2427597,2486839,2546172,2613615,2666450,2709984,2751562,2797001,2844464,2898405,2956504,3013074,3065073,3123572,3166013,3199225,3234704,3281272,3326705,3383168,3448626,3517836,3587524,3671288,3749931,3822994,3890124,3951959,4021328,4069604,4104009,4134774,4169436,4195563,4233202,4278836,4324999,4366542,4413570,4453436,4487901,4521517,4557788,4599561,4640007,4679985,4719488,4758992,4803947,4845742,4885256,4923688,4962176,5005210,5045389,5083161,5118783,5152698,5190141,5222946,5251950,5278126,5302384,5328480,5351033,5370784,5388531,5405012,5423457,5440261,5455614,5469678,5482766,5499801,5514461,5526989,5537556,5546527,5559633,5568179,5573669,5578388,5584115,5592542,5602523,5612680,5620238,5623499,5631721,5630657,5622911,5612886,5603752,5594358,5587641,5582224,5574956,5563824,5556510,5543106,5525276,5506302,5488560,5472655,5458553,5445467,5431579,5415542,5404296,5388281,5367855,5345073,5322606
gin,Guinea,437701,457230,483024,505968,523990,538901,563819,573667,575225,575500,580140,583280,589986,600173,611440,622648,638509,649689,657881,666062,676966,695081,709873,723200,736928,753361,777558,797975,816979,837275,861700,890084,915175,939580,966398,998801,1035067,1069479,1103111,1136507,1170804,1214081,1249737,1280450,1309800,1341400,1381514,1416226,1446940,1474581,1500615,1535291,1561843,1583478,1604741,1630331,1661539,1689852,1716958,1743784,1771639,1802101,1827671,1851641,1878549,1912510,1945446,1981249,2019747,2059594,2100111,2144739,2184930,2222062,2258181,2295213,2335011,2371495,2405704,2438564,2471080,2504827,2535823,2564849,2592748,2620394,2649592,2676628,2702134,2726791,2751356,2778374,2803059,2826197,2848767,2871745,2897682,2921897,2944872,2967020,2988913,3014191,3036579,3056775,3075552,3093711,3114532,3132493,3148424,3163319,3178075,3195210,3211367,3226514,3240314,3252746,3268642,3280848,3290255,3298188,3305758,3315674,3324169,3331423,3337318,3341962,3349381,3354216,3356925,3358098,3358309,3360795,3360947,3359532,3357636,3356154,3356830,3358161,3359359,3358839,3355677,3356191,3350904,3341413,3330331,3320168,3309856,3301698,3296606,3293255,3288657
gmb,Gambia,56288,56733,56776,56739,57006,57863,59178,60356,61486,62632,63932,66091,67274,67937,68748,70360,72739,75075,77544,80151,82973,86395,89124,91535,94149,97407,101025,104990,109227,113446,117557,122358,125860,128923,132904,138895,144840,152558,161477,170380,178380,188809,197145,203846,209770,215673,222099,227552,232553,237641,243236,248175,254246,261210,268598,276034,284257,292333,300344,308600,317504,327914,337578,346839,356013,365391,375181,384277,392902,401238,409506,417756,425387,432589,439578,446555,453520,460140,466506,472676,478744,485137,490841,496081,501161,506350,511909,517101,522036,526776,531431,536604,541045,544967,548643,552321,556388,559973,563186,566092,568790,571902,574273,576116,577705,579275,581184,582766,584125,585334,586484,588225,589530,590485,591157,591647,592771,593102,592915,592568,592357,592552,592750,592932,592966,592802,593391,593252,592579,591671,590764,590357,589582,588541,587276,585865,584946,583570,581859,579943,577947,576449,574606,572534,570348,568161,566534,564694,562773,560897,559164
gnb,Guinea-Bissau,81901,85026,89422,93170,95779,97547,101172,101843,100875,99631,99146,98246,98364,99422,100904,102596,105268,107152,108635,110334,112726,116072,119258,122281,124964,127305,131128,134007,136550,139695,144239,148174,152969,158342,163617,168380,173451,176369,177896,179235,181374,183441,186060,189107,192110,194887,199028,201615,203315,205115,207783,210569,213529,216853,220692,225342,231251,236934,242609,248493,254839,262148,268488,274150,279434,284614,289830,294244,298103,301656,305111,308228,311321,314407,317470,320520,323812,326940,329968,333020,336227,340007,343473,346748,349953,353235,357003,360328,363392,366418,369606,373108,376552,379912,383085,386034,389403,392032,394130,396018,397949,400008,402010,403951,405734,407325,409287,410786,411963,413044,414212,415741,417219,418631,419884,420954,422525,423501,424059,424464,424932,425639,426316,426935,427389,427627,428242,428359,428111,427716,427342,427190,426996,426737,426316,425687,425418,424699,423650,422465,421305,420355,419379,418374,417282,416068,415194,414029,412615,411089,409616
gnq,Equatorial Guinea,30178,32121,34338,35965,36920,37509,39132,39567,39430,39256,39423,39277,39480,40074,40984,42203,43883,45759,47437,48169,47321,46953,44726,41323,38026,35990,33863,32937,33385,35367,39248,43771,49125,54977,60373,64390,68863,71067,71627,71755,72448,72498,73879,76340,79304,82383,85704,89048,92451,96109,100185,104572,108725,112906,117413,122498,127254,132395,137854,143468,149135,154900,160354,165559,170615,175602,180886,185845,190558,195125,199653,204562,209448,214306,219024,223452,227886,232128,236150,239917,243357,246649,249798,252820,255727,258515,261105,263755,266424,269054,271577,274173,276714,279181,281533,283725,286100,288210,290111,291871,293541,295254,296856,298365,299788,301120,302531,303893,305180,306353,307368,308559,309531,310316,310959,311474,312082,312576,312972,313274,313472,313752,314023,314252,314381,314350,314438,314353,314138,313838,313481,313112,312789,312477,312112,311628,311172,310671,310118,309510,308834,308155,307493,306841,306168,305441,304709,304050,303454,302898,302327
grc,Greece,786000,804385,785308,760150,743644,740377,719222,728864,754494,778816,789836,813413,809998,787894,764789,753221,735295,735547,748605,762056,767671,776628,771175,756627,743695,739535,729428,732411,743369,752774,754784,766051,762213,746848,725783,702558,670635,636921,604046,575527,554112,528653,520460,523917,530126,532885,548955,551852,545691,538206,535030,534103,534714,537077,539535,540718,542809,547464,552149,553623,550167,549408,536439,515540,493637,475449,450400,435210,426923,419663,409459,402307,391177,377370,364297,354341,345812,339762,336104,333887,332559,333238,334479,336147,338188,340519,344236,347122,349333,351086,352520,353509,354303,354773,354591,353405,351327,348909,345992,342479,338246,333350,328579,323870,319167,314360,309605,305638,302219,299099,296099,294048,292300,290862,289796,289104,289321,290007,290984,292014,292901,294471,295792,296839,297612,298042,298395,298679,298780,298505,297623,296484,295297,293894,292176,290049,287870,285917,284033,282071,279874,278012,276354,274841,273399,271913,270993,270403,270027,269744,269473
grd,Grenada,15213,14779,14133,13812,13979,14562,14738,15546,16628,17622,18266,18880,19052,18806,18295,17630,16667,15581,14485,13530,12817,11722,11565,12013,12527,12696,13146,12909,12251,11706,11715,11714,12256,13173,14037,14526,15274,15512,15344,15037,14799,14320,13789,13258,12740,12233,11402,10891,10588,10354,10109,10092,9935,9700,9488,9336,9131,8991,8873,8754,8702,9120,9238,9202,9155,9163,9056,9028,9055,9064,9012,8923,8814,8677,8524,8364,8195,8021,7848,7680,7526,7380,7264,7167,7088,7027,7004,6983,6967,6952,6946,6969,6973,6960,6934,6907,6877,6835,6782,6716,6642,6556,6466,6372,6277,6176,6077,5980,5884,5796,5710,5638,5569,5503,5441,5388,5356,5320,5285,5249,5215,5199,5169,5134,5095,5055,5018,4972,4927,4877,4825,4775,4720,4665,4607,4549,4492,4434,4373,4313,4255,4204,4155,4102,4053,4006,3971,3933,3893,3853,3821
gtm,Guatemala,544162,579491,619631,655449,685039,710656,745919,765987,777691,787812,801587,812356,827986,848136,870218,892773,920240,945316,968980,993346,1020396,1055326,1086817,1116416,1145816,1176863,1214633,1249296,1281949,1313703,1346052,1382793,1414628,1442613,1467450,1490340,1514411,1530365,1542495,1557356,1579828,1602608,1638880,1683741,1728389,1766974,1814350,1843432,1859973,1874542,1895159,1909844,1931688,1957499,1979118,1991122,1999882,1991909,1973518,1956294,1948269,1931529,1935480,1954090,1976177,1994028,2022704,2040126,2048992,2055787,2065382,2077432,2087358,2096151,2103270,2108543,2111719,2114239,2115881,2116530,2115996,2114669,2113244,2111258,2108113,2103420,2099632,2093411,2085471,2077036,2069019,2061397,2054939,2049148,2043010,2035898,2030818,2023739,2015200,2006216,1997510,1989845,1982427,1975034,1967093,1958261,1950963,1942322,1932558,1922113,1911295,1901526,1891472,1881083,1870195,1858696,1848618,1838112,1827145,1815728,1803851,1793685,1783074,1772076,1760813,1749364,1739760,1730285,1720684,1710483,1699346,1690384,1680031,1668664,1657054,1645721,1635752,1627150,1619230,1610744,1600794,1593415,1583978,1572891,1561059,1549283,1538472,1528713,1520035,1511540,1501829
guy,Guyana,68540,73657,78474,83002,87358,91722,96225,100253,103827,106872,109321,111789,113466,114448,114963,115208,115757,116401,117015,117455,117708,117842,118145,118603,118910,118424,115322,112979,110986,109137,107308,105457,105044,105381,105371,104171,103819,100666,95828,91548,89880,89682,91461,94704,97812,99616,102549,102619,100655,98150,96090,92132,89403,87569,85856,83729,80942,78341,75919,74018,72939,72727,73053,73765,74484,75012,76480,76536,75657,74578,73864,72807,72224,71998,71779,71339,70948,70331,69523,68671,67889,67251,66556,65829,65068,64288,63695,62950,62104,61239,60440,59787,59120,58453,57784,57131,56670,56098,55446,54765,54108,53604,52997,52315,51592,50868,50256,49544,48762,47957,47181,46507,45793,45051,44301,43565,42981,42308,41580,40836,40123,39561,38923,38236,37532,36860,36327,35721,35069,34400,33751,33241,32647,31990,31314,30661,30134,29529,28887,28226,27580,27051,26445,25785,25111,24461,23931,23347,22735,22127,21551
hnd,Honduras,274279,290721,306724,320557,332513,344082,359597,370257,378365,386100,395250,404962,414937,425674,437285,450127,465485,480371,495014,509578,524506,542234,556306,568445,581145,596495,613017,631505,651496,671650,691278,713777,732265,747950,762795,778487,794629,810128,825595,841318,857542,873399,890059,907656,926694,947552,969783,993570,1017229,1037892,1053755,1070673,1076226,1073672,1068239,1063713,1052842,1047211,1045033,1042273,1036071,1030256,1020993,1009829,1000484,995570,992136,995225,1002778,1010874,1017017,1028839,1033180,1032182,1029630,1028296,1025570,1023757,1022604,1020710,1017104,1012400,1007023,1000897,994346,987539,980789,974161,967549,960740,953650,947596,940863,933725,926655,920021,914352,909103,904112,898975,893448,889222,883877,877776,871548,865640,860247,855454,850979,846243,840866,836529,831123,824929,818483,812146,806287,800850,795623,790159,784153,779162,773473,767281,760997,754882,749554,744724,740193,735580,730628,727010,722871,718299,713505,708627,704726,700752,696668,692367,687767,684038,680159,676114,671877,667386,663763,660133,656388,652430,648223
