geo,name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
bdi,Burundi,377410,396583,420163,440714,456494,469173,490023,499196,502261,504844,511173,514944,523731,536962,552150,567944,587760,604328,617970,628917,637109,647496,652057,653877,658051,669741,685695,704605,727043,752842,782875,823142,857636,889147,920706,954392,989405,1021437,1050125,1074817,1096536,1129415,1150367,1162143,1167245,1167688,1165446,1157055,1147656,1144947,1155817,1163200,1184541,1218095,1259803,1306825,1364046,1418182,1470348,1522983,1578653,1644264,1703368,1757892,1809265,1859042,1905899,1946753,1983545,2018697,2053840,2083033,2116978,2154032,2191243,2226440,2263185,2296961,2328722,2360705,2394640,2430770,2467545,2505226,2543625,2582818,2625048,2666268,2706867,2747408,2788444,2831856,2873616,2914126,2953743,2992854,3033129,3071469,3108089,3143090,3176622,3210675,3242234,3271787,3299976,3327303,3355096,3382266,3408638,3433784,3457478,3483121,3506388,3527874,3548564,3569224,3591750,3614056,3636118,3657729,3678845,3702772,3725286,3746336,3765775,3783600,3803630,3819980,3833601,3845876,3857826,3870112,3882824,3895407,3906729,3916044,3927540,3936144,3942208,3946455,3949435,3953984,3956736,3957876,3957504,3955868,3955661,3954341,3952363,3949987,3946960
bel,Belgium,696820,718826,709973,700039,697323,701535,684021,691515,711994,733952,749685,773034,785702,788784,787088,783725,779122,767535,751815,734877,718858,696015,681316,672019,663630,653006,645157,633955,620771,608826,600255,592872,589775,589790,590461,590432,594221,593747,590823,588764,589974,590368,595248,602808,608833,609858,608909,602289,591934,582139,576032,566152,564238,568509,575720,583492,593944,604925,615530,624993,632774,643719,648278,648316,646527,644951,640519,637956,636887,635948,633653,628638,626707,626171,625375,623323,623793,621425,617224,612928,609688,606188,604504,604253,604473,604482,605419,606674,608022,609446,610899,613392,615696,617720,619238,620018,621050,621257,620747,619755,618364,616402,615133,614241,613253,611759,610479,609494,608568,607492,606067,605290,604395,603404,602442,601553,601190,601599,602450,603236,603561,604865,605832,606445,606816,606955,607593,608491,609403,609908,609633,609836,609662,609075,608159,606894,605850,605387,605180,604757,603693,603460,603143,602605,601813,600711,600499,600578,600775,600807,600366
ben,Benin,308821,311533,317464,324080,331218,339537,352277,360769,367183,373968,383409,395250,406370,417631,429398,442356,457494,470539,482513,494674,508360,524517,538692,552168,566445,583059,602466,621177,639963,659450,680505,704896,726798,747539,768761,792137,817959,842002,865842,891358,920427,951724,982575,1013213,1043330,1073017,1107596,1137511,1164612,1191483,1220561,1252442,1282976,1313180,1344012,1376560,1413739,1450034,1485992,1522009,1558812,1600013,1636908,1671053,1704452,1739041,1775419,1809155,1841613,1874203,1908329,1944656,1980603,2016590,2052830,2089851,2131068,2169163,2205286,2240977,2277731,2317986,2355590,2391543,2426815,2462483,2501103,2537097,2571293,2604552,2637825,2673996,2707280,2738626,2769131,2799904,2833618,2865170,2895285,2924672,2954173,2987139,3017536,3046228,3074286,3102783,3134895,3165013,3193609,3220961,3247598,3277910,3304275,3327901,3350421,3373254,3398643,3422921,3446198,3468151,3488821,3513037,3533344,3550673,3566317,3581428,3599018,3614289,3627977,3640864,3653725,3669382,3684252,3698258,3711077,3722699,3738246,3749832,3758378,3765204,3771435,3779873,3786227,3790838,3793822,3795459,3799122,3800329,3799611,3797639,3794867
bfa,Burkina Faso,691602,702267,709408,714901,721915,733588,752438,767002,779340,791431,805707,828015,842587,853120,864300,880636,903052,923756,944198,964847,986983,1016586,1038050,1055369,1074239,1099902,1133211,1166646,1201474,1238094,1278246,1328941,1369705,1404523,1438367,1476004,1519171,1555699,1589262,1623686,1662881,1707971,1751325,1794843,1840415,1890759,1952710,2008093,2060346,2113613,2172255,2241337,2302794,2360635,2419905,2486278,2564716,2637100,2706111,2773741,2842946,2920986,2986467,3044475,3101116,3161236,3220629,3281695,3344616,3408261,3472482,3542122,3607403,3670253,3733855,3801123,3874951,3946539,4017064,4087324,4158616,4236338,4308246,4376156,4442294,4508831,4579067,4644829,4707277,4767356,4826206,4887773,4944434,4997498,5048621,5099344,5152872,5203880,5252651,5299012,5343246,5391756,5433983,5472011,5508959,5547374,5589031,5631497,5674323,5716166,5756456,5803351,5844360,5880584,5913706,5945260,5980726,6010562,6036323,6059842,6082669,6107494,6131713,6154644,6174749,6191199,6212291,6226201,6234754,6241019,6247350,6256260,6265237,6273753,6280287,6284055,6293184,6296798,6296098,6293161,6289664,6289846,6288053,6284421,6278676,6270854,6267103,6259391,6248386,6235201,6220779
bgd,Bangladesh,6237852,6380465,6458759,6541754,6675926,6885429,7122947,7417586,7749738,8095999,8444969,8878080,9211327,9483469,9758577,10089632,10451908,10835014,11218680,11540948,11750856,11984536,12066656,12051809,12057328,12199855,12442146,12739599,13094757,13468929,13833406,14261294,14564416,14779545,14965632,15174283,15384621,15553774,15692716,15801691,15889547,15998584,16042636,16047015,16047944,16075268,16113488,16160170,16211608,16254467,16282150,16368469,16391130,16357212,16275278,16156707,16077841,15911480,15693223,15472497,15287419,15076216,14934827,14844468,14770880,14693140,14669081,14606862,14516613,14418746,14328179,14254721,14159098,14046749,13919499,13781535,13642020,13484766,13315165,13140784,12967341,12790459,12625107,12467092,12309781,12149607,12011220,11862135,11706290,11551474,11404433,11278986,11152761,11027604,10904672,10786194,10689955,10590683,10488535,10383320,10276167,10187947,10085679,9973957,9859236,9746705,9642267,9539818,9438793,9337330,9234868,9146634,9055161,8960996,8865900,8771927,8694599,8612599,8527508,8441727,8357943,8289286,8218578,8146229,8072271,7997500,7937817,7871550,7800499,7727583,7655499,7595948,7534945,7472190,7406865,7339196,7285810,7225621,7160246,7092710,7025819,6971145,6915362,6858366,6799621,6739193,6693459,6642296,6586202,6527383,6469060
bgr,Bulgaria,733000,743818,735454,723082,711723,702393,679739,669875,667457,666769,663545,662947,659239,653134,647556,644213,643371,642996,643288,644365,647043,655210,662322,668606,674062,678670,685308,688703,688956,685852,679652,672882,659000,640913,623146,608393,587508,578973,577185,572570,558322,548908,523889,488067,450962,419963,386918,361500,343673,331042,321618,313377,312508,316562,323271,331379,349139,361280,368792,372831,374746,378364,372137,360127,347561,337830,319643,312631,313038,314543,312730,313766,310384,303615,296553,291348,286971,283125,280031,277164,274288,271691,269253,266966,264963,263337,262146,261178,260388,259704,259102,258889,258327,257503,256513,255440,254289,252807,251060,249095,246965,244551,242048,239466,236825,234146,231427,228807,226261,223774,221355,219247,217119,215002,212967,211087,209551,207976,206414,204919,203547,202418,201256,200072,198870,197658,196607,195370,193992,192545,191107,189684,188223,186731,185172,183527,182001,180325,178519,176640,174749,173110,171439,169732,167993,166235,164881,163401,161844,160290,158837
bhr,Bahrain,20238,20297,20325,20541,21130,22131,22949,24120,25433,26648,27673,29816,30850,31143,31254,31609,31738,32368,33359,34439,35519,36536,37094,37519,38336,39910,40774,42676,45283,47905,49897,51977,53793,55303,56761,58468,60604,62518,64219,65452,65925,66188,65259,63432,61663,61290,63235,65177,67693,70782,74016,73468,74135,75797,78289,81249,81031,83190,86499,89573,91447,95452,98620,101152,103556,106231,107217,107840,108136,108250,108054,106099,106520,108360,110180,111067,112910,113399,112838,112073,111683,111473,111622,112004,112163,111802,111597,110720,109340,107839,106440,104717,103445,102506,101665,100757,100012,99319,98662,98079,97604,97412,97215,97038,96890,96785,96839,96878,96900,96880,96804,96766,96654,96474,96246,95962,95629,95334,95044,94716,94313,93924,93529,93114,92686,92239,91855,91521,91215,90920,90620,90440,90294,90168,90047,89912,89910,89909,89893,89852,89781,89797,89809,89811,89788,89721,89685,89670,89660,89631,89539
bhs,Bahamas,12060,12200,12235,12471,12934,13588,14123,14813,15596,16476,17483,18558,19747,20942,21967,22672,23198,23397,23368,23311,23269,22448,22757,23754,24748,25247,25736,25683,25291,25043,25225,24920,25780,27332,28771,29553,30704,30612,29692,28768,28430,27697,28085,29199,30230,30606,31408,31076,29937,28744,28150,27647,27683,28247,29021,29658,29760,30269,30890,31286,31159,30766,29823,28516,27296,26495,25441,25367,25964,26661,27064,27951,28151,27867,27512,27374,27108,27086,27249,27411,27436,27408,27328,27187,27026,26868,26670,26512,26386,26265,26141,26016,25925,25850,25777,25685,25618,25532,25426,25311,25191,25051,24924,24813,24708,24606,24480,24407,24368,24339,24303,24274,24249,24220,24193,24159,24115,24084,24056,24027,23982,23918,23870,23830,23785,23724,23647,23578,23514,23456,23395,23319,23272,23246,23220,23180,23135,23094,23054,23016,22973,22915,22882,22865,22851,22823,22784,22758,22741,22727,22703
bih,Bosnia and Herzegovina,384499,413034,421761,424926,426335,428369,423859,424246,427681,432433,436991,440359,446756,453701,458482,459265,464327,458893,446813,434308,425796,413304,409384,411182,413060,411268,412419,406755,396614,386792,380569,372727,369724,370153,371028,370420,373343,373789,370828,363099,348918,332493,312842,291667,272847,260039,245798,239278,238335,238120,234469,229992,218292,202139,187130,177159,165010,162907,167256,171881,173220,182512,182991,177787,171662,166843,154081,146179,141506,137597,133254,129053,126027,123727,121936,120338,120427,119195,117188,115218,113919,112835,112251,112090,112009,111779,111664,111394,110956,110436,109876,109265,108602,107857,106960,105855,104608,103173,101595,99941,98248,96367,94635,93026,91529,90123,88809,87738,86857,86095,85401,85058,84635,84172,83743,83414,83279,83151,83028,82874,82657,82522,82280,81931,81491,80970,80412,79811,79165,78452,77648,76819,75985,75134,74255,73345,72522,71751,71006,70289,69607,69084,68614,68209,67851,67508,67351,67193,66986,66705,66381
blr,Belarus,659156,711244,735328,752896,775606,810806,840636,876603,913057,941994,958022,968678,959101,934375,903783,873541,826325,788315,758898,736512,719736,702908,704659,717950,732594,741108,762670,763852,751628,739443,737937,737319,748443,767993,787308,800298,816995,823351,819588,807068,786697,761149,723858,679622,635024,594169,540222,505878,485672,471223,456814,452996,448112,443066,441358,445676,458729,470777,482979,496064,511210,531115,548191,562183,572032,577754,580730,575364,565690,556401,548121,519516,510846,513823,516870,512412,513200,503274,485768,467953,454755,440710,432111,428239,426284,424489,425193,426455,428133,430768,434724,441321,447420,453140,458419,463275,468320,471779,473932,474991,475015,473004,470560,467552,463769,458989,452435,446165,440033,433940,427740,421296,415659,410659,406224,402331,399570,397403,395834,394888,394595,395645,396882,398286,399804,401411,403664,405444,406817,407832,408500,408668,408521,408031,407066,405453,403035,400461,397648,394566,391146,387447,384116,380983,377860,374564,371954,369408,366927,364700,363058
